# Z (mm) 	 Energy Deposition (MeV)
436.5	2.77412
437.5	3.37747
438.5	3.94877
439.5	4.17921
440.5	5.14409
441.5	9.30091
442.5	21.169
443.5	0.012109
444.5	0.529283
445.5	0
446.5	0.116308
447.5	0
448.5	0.813078
449.5	0
450.5	0
451.5	0
452.5	1.65612
453.5	2.14914
454.5	0
455.5	1.41004
456.5	2.03025
457.5	2.37861
458.5	2.77478
459.5	3.89589
460.5	3.39721
461.5	4.49893
462.5	7.7878
463.5	6.29792
464.5	0.0975366
465.5	0
466.5	0.023494
467.5	0.0349877
468.5	0
469.5	0
470.5	0
471.5	0.712771
472.5	0.0342423
473.5	0.0033501
474.5	0
475.5	0.217777
476.5	1.04561
477.5	0
478.5	0
479.5	0
480.5	7.95869
481.5	1.10733
482.5	0
483.5	0
484.5	0
485.5	0
486.5	0
487.5	0
488.5	0
489.5	0
490.5	6.12169
491.5	3.79358
492.5	0
493.5	0
494.5	0
495.5	0
496.5	0
497.5	0
498.5	0
499.5	0
500.5	1.51697
501.5	7.0324
502.5	3.56671
503.5	0
504.5	0
505.5	0
506.5	0
507.5	0
508.5	0
509.5	0
510.5	0.051863
511.5	0.0782669
512.5	0.00667459
513.5	0.111881
514.5	0.00752279
515.5	0.0510258
516.5	0
517.5	0.0843873
518.5	0.428303
519.5	0
520.5	0
521.5	0.276522
522.5	1.99885
523.5	2.7542
524.5	2.20059
525.5	2.65408
526.5	2.57404
527.5	2.29108
528.5	2.89979
529.5	3.16555
530.5	3.07114
531.5	2.95727
532.5	4.14784
533.5	3.49955
534.5	4.38801
535.5	4.03787
536.5	4.35211
537.5	5.98485
538.5	8.9156
539.5	5.11851
540.5	1.868
541.5	2.33855
542.5	2.14898
543.5	3.33711
544.5	4.96803
545.5	3.76087
546.5	6.39307
547.5	4.27811
548.5	0
549.5	0
550.5	0
551.5	0
552.5	0
553.5	0
554.5	1.53378
555.5	0
556.5	0
557.5	0
558.5	0
559.5	0
560.5	0
561.5	0
562.5	0
563.5	0
564.5	0
565.5	0
566.5	0
567.5	0
568.5	0
569.5	0
570.5	0
571.5	0
572.5	0
573.5	0
574.5	0
575.5	0
576.5	0
577.5	0
578.5	0
579.5	0
580.5	0
581.5	0
582.5	0
583.5	0
584.5	0
585.5	7.55577
586.5	5.80342
587.5	3.54096
588.5	1.59214
589.5	0.265879
590.5	0
591.5	0
592.5	0
593.5	0
594.5	0
595.5	0.00797651
596.5	0
597.5	0.246458
598.5	0
599.5	0
600.5	0
601.5	0
602.5	0
603.5	0
604.5	0
605.5	0
606.5	0
607.5	0
608.5	0
609.5	0
610.5	0
611.5	0
612.5	0
613.5	0
614.5	0
615.5	0
616.5	0
617.5	0
618.5	0
619.5	0
620.5	0
621.5	0
622.5	0
623.5	0
624.5	0
625.5	0
626.5	0
627.5	0
628.5	0
629.5	0
630.5	0
631.5	0
632.5	0
633.5	0
634.5	0
635.5	0
636.5	0
637.5	0
638.5	0
639.5	0
640.5	0
641.5	0
642.5	0
643.5	0
644.5	0
645.5	0
646.5	0
647.5	0
648.5	0
649.5	0
650.5	0
651.5	0
652.5	0
653.5	0
654.5	0
655.5	0
656.5	0
657.5	0
658.5	0
659.5	0
660.5	0
661.5	0
662.5	0
663.5	0
664.5	0
665.5	0
666.5	0
667.5	0
668.5	0
669.5	0
670.5	0
671.5	0
672.5	0
673.5	0
674.5	0
675.5	0
676.5	0
677.5	0
678.5	0
679.5	0
680.5	0
681.5	0
682.5	0
