# Z (mm) 	 Energy Deposition (MeV)
365.75	1569.32
366.45	880.126
367.15	412.02
367.85	193.6
368.55	119.628
369.25	135.43
369.95	48.8944
370.65	37.1873
371.35	33.862
372.05	46.5713
372.75	31.3382
373.45	7.16667
374.15	12.0338
374.85	4.14798
375.55	13.8725
376.25	22.3031
376.95	20.3303
377.65	31.3769
378.35	6.84105
379.05	7.41751
379.75	20.5596
380.45	20.3937
381.15	11.3937
381.85	13.3185
382.55	21.9527
383.25	29.7991
383.95	45.1967
384.65	37.8129
385.35	46.7334
386.05	45.0208
386.75	20.9725
387.45	22.97
388.15	23.9525
388.85	24.8074
389.55	19.0682
390.25	10.4208
390.95	19.0839
391.65	18.4629
392.35	9.90036
393.05	19.6895
393.75	24.3667
394.45	26.7384
395.15	25.7527
395.85	13.0954
396.55	15.5692
397.25	22.7803
397.95	16.8266
398.65	24.3532
399.35	34.2273
400.05	28.5881
400.75	8.47656
401.45	19.9656
402.15	33.4653
402.85	6.24709
403.55	9.58159
404.25	0.538938
404.95	4.76258
405.65	3.45387
406.35	3.94736
407.05	12.1708
407.75	1.73714
408.45	14.6023
409.15	48.2545
409.85	9.18248
410.55	1.06287
411.25	25.6195
411.95	15.1651
412.65	7.50606
413.35	10.4407
414.05	28.182
414.75	18.4902
415.45	18.7985
416.15	6.68822
416.85	17.9149
417.55	16.409
418.25	15.5396
418.95	15.0699
419.65	9.87263
420.35	12.2924
421.05	3.63975
421.75	7.12847
422.45	5.30135
423.15	27.0701
423.85	13.5777
424.55	11.4293
425.25	17.144
425.95	11.8123
426.65	13.1587
427.35	30.2331
428.05	17.8926
428.75	20.6029
429.45	13.7662
430.15	12.0712
430.85	9.42538
431.55	7.87539
432.25	5.38148
432.95	11.5621
433.65	6.39302
434.35	10.3167
435.05	17.3582
435.75	10.3266
436.45	21.5222
437.15	21.6943
437.85	26.8212
438.55	18.0099
439.25	12.6668
439.95	27.7331
440.65	15.0148
441.35	5.83747
442.05	15.5542
442.75	13.2003
443.45	6.93078
444.15	14.3403
444.85	14.2505
445.55	5.1838
446.25	3.59166
446.95	15.234
447.65	11.1615
448.35	25.6735
449.05	8.43034
449.75	12.6056
450.45	10.7816
451.15	14.1013
451.85	4.93562
452.55	19.7836
453.25	6.31746
453.95	2.81742
454.65	14.1682
455.35	4.57413
456.05	3.62685
456.75	5.28097
457.45	5.52695
458.15	4.20831
458.85	6.31968
459.55	15.4449
460.25	7.50934
460.95	9.54193
461.65	5.68997
462.35	5.01364
463.05	6.10945
463.75	7.3749
464.45	9.71601
465.15	8.95093
465.85	10.0674
466.55	7.08733
467.25	19.7304
467.95	8.67667
468.65	11.3954
469.35	10.2062
470.05	7.96731
470.75	31.6522
471.45	33.7163
472.15	28.3948
472.85	38.3461
473.55	29.6954
474.25	17.1748
474.95	20.9476
475.65	27.1524
476.35	12.0257
477.05	4.79144
477.75	7.30642
478.45	7.84394
479.15	4.58155
479.85	3.87035
480.55	5.02064
481.25	4.79874
481.95	6.24448
482.65	5.70211
